item,value,symbol
流通市值,5434595067.839999,301029
行业,通用设备,301029
上市时间,20210723,301029
股票代码,001231,001231
股票简称,农心科技,001231
总股本,100000000.0,001231
流通股,36836500.0,001231
总市值,1324000000.0,001231
流通市值,487715260.0,001231
行业,农药兽药,001231
上市时间,20220819,001231
股票代码,688033,688033
股票简称,天宜上佳,688033
总股本,562198596.0,688033
流通股,562198596.0,688033
总市值,2985274544.7599998,688033
流通市值,2985274544.7599998,688033
行业,光伏设备,688033
上市时间,20190722,688033
股票代码,600796,600796
股票简称,钱江生化,600796
总股本,866585766.0,600796
流通股,301402144.0,600796
总市值,3613662644.22,600796
流通市值,1256846940.48,600796
行业,环保行业,600796
上市时间,19970408,600796
股票代码,600077,600077
股票简称,*ST宋都,600077
总股本,-,600077
流通股,-,600077
总市值,-,600077
流通市值,-,600077
行业,-,600077
上市时间,19970520,600077
股票代码,002956,002956
股票简称,西麦食品,002956
总股本,223246885.0,002956
流通股,223224301.0,002956
总市值,2777191249.4,002956
流通市值,2776910304.44,002956
行业,食品饮料,002956
上市时间,20190619,002956
股票代码,300151,300151
股票简称,昌红科技,300151
总股本,532508631.0,300151
流通股,368696918.0,300151
总市值,7918403342.969999,300151
流通市值,5482523170.66,300151
行业,专用设备,300151
上市时间,20101222,300151
股票代码,002028,002028
股票简称,思源电气,002028
总股本,774213282.0,002028
流通股,602636711.0,002028
总市值,48357361593.72,002028
流通市值,37640688969.06,002028
行业,电网设备,002028
上市时间,20040805,002028
股票代码,600375,600375
股票简称,*ST汉马,600375
总股本,654314844.0,600375
流通股,654314844.0,600375
总市值,2584543633.8,600375
流通市值,2584543633.8,600375
行业,工程机械,600375
上市时间,20030401,600375
股票代码,603283,603283
股票简称,赛腾股份,603283
总股本,200316148.0,603283
流通股,190086648.0,603283
总市值,14619072481.04,603283
流通市值,13872523571.04,603283
行业,专用设备,603283
上市时间,20171225,603283
股票代码,300892,300892
股票简称,品渥食品,300892
总股本,100000000.0,300892
流通股,64562500.0,300892
总市值,1562000000.0,300892
流通市值,1008466250.0,300892
行业,食品饮料,300892
上市时间,20200924,300892
股票代码,002903,002903
股票简称,宇环数控,002903
总股本,155875000.0,002903
流通股,99786733.0,002903
总市值,2573496250.0000005,002903
流通市值,1647478961.8300002,002903
行业,通用设备,002903
上市时间,20171013,002903
股票代码,600097,600097
股票简称,开创国际,600097
总股本,240936559.0,600097
流通股,240936559.0,600097
总市值,1823889751.63,600097
流通市值,1823889751.63,600097
行业,农牧饲渔,600097
上市时间,19970619,600097
股票代码,600866,600866
股票简称,星湖科技,600866
总股本,1661472616.0,600866
流通股,1109373959.0,600866
总市值,9171328840.32,600866
流通市值,6123744253.679999,600866
行业,食品饮料,600866
上市时间,19940818,600866
股票代码,600403,600403
股票简称,大有能源,600403
总股本,2390812402.0,600403
流通股,2390812402.0,600403
总市值,5714041640.780001,600403
流通市值,5714041640.780001,600403
行业,煤炭行业,600403
上市时间,20031009,600403
股票代码,000536,000536
股票简称,华映科技,000536
总股本,2766032803.0,000536
流通股,2763082516.0,000536
总市值,5227801997.67,000536
流通市值,5222225955.24,000536
行业,光学光电子,000536
上市时间,19931126,000536
股票代码,603890,603890
股票简称,春秋电子,603890
总股本,439044227.0,603890
流通股,439044227.0,603890
总市值,3745047256.31,603890
流通市值,3745047256.31,603890
行业,消费电子,603890
上市时间,20171212,603890
股票代码,300162,300162
股票简称,雷曼光电,300162
总股本,419510030.0,300162
流通股,340758780.0,300162
总市值,2567401383.6,300162
流通市值,2085443733.6000001,300162
行业,光学光电子,300162
上市时间,20110113,300162
股票代码,688055,688055
股票简称,龙腾光电,688055
总股本,3333333400.0,688055
流通股,3333333400.0,688055
总市值,9900000198.0,688055
流通市值,9900000198.0,688055
行业,光学光电子,688055
上市时间,20200817,688055
股票代码,600613,600613
股票简称,神奇制药,600613
总股本,534071628.0,600613
流通股,479319978.0,600613
总市值,2878646074.9199996,600613
流通市值,2583534681.42,600613
行业,化学制药,600613
上市时间,19920820,600613
股票代码,688629,688629
股票简称,华丰科技,688629
总股本,460992831.0,688629
流通股,164740798.0,688629
总市值,12880139698.140001,688629
流通市值,4602857896.12,688629
行业,电子元件,688629
上市时间,20230627,688629
股票代码,002880,002880
股票简称,卫光生物,002880
总股本,226800000.0,002880
流通股,226800000.0,002880
总市值,6382152000.0,002880
流通市值,6382152000.0,002880
行业,生物制品,002880
上市时间,20170616,002880
股票代码,871970,871970
股票简称,大禹生物,871970
总股本,111360400.0,871970
流通股,69445900.0,871970
总市值,682639252.0,871970
流通市值,425703367.0,871970
行业,农牧饲渔,871970
上市时间,20220518,871970
股票代码,601996,601996
股票简称,丰林集团,601996
总股本,1145622800.0,601996
流通股,1145622800.0,601996
总市值,1959014988.0,601996
流通市值,1959014988.0,601996
行业,装修建材,601996
上市时间,20110929,601996
股票代码,600313,600313
股票简称,农发种业,600313
总股本,1082198663.0,600313
流通股,1082198663.0,600313
总市值,6017024566.28,600313
流通市值,6017024566.28,600313
行业,农牧饲渔,600313
上市时间,20010119,600313
股票代码,688558,688558
股票简称,国盛智科,688558
总股本,132000000.0,688558
流通股,132000000.0,688558
总市值,2271720000.0,688558
流通市值,2271720000.0,688558
行业,通用设备,688558
上市时间,20200630,688558
股票代码,603303,603303
股票简称,得邦照明,603303
总股本,476944575.0,603303
流通股,476944575.0,603303
总市值,5294084782.5,603303
流通市值,5294084782.5,603303
行业,家电行业,603303
上市时间,20170330,603303
股票代码,688502,688502
股票简称,茂莱光学,688502
总股本,52800000.0,688502
流通股,16364577.0,688502
总市值,5021808000.0,688502
流通市值,1556434918.47,688502
行业,光学光电子,688502
上市时间,20230309,688502
股票代码,688296,688296
股票简称,和达科技,688296
总股本,108240660.0,688296
流通股,60037538.0,688296
总市值,954682621.2,688296
流通市值,529531085.16,688296
行业,软件开发,688296
上市时间,20210727,688296
股票代码,300664,300664
股票简称,鹏鹞环保,300664
总股本,771592332.0,300664
流通股,748142332.0,300664
总市值,3387290337.4799995,300664
流通市值,3284344837.4799995,300664
行业,环保行业,300664
上市时间,20180105,300664
股票代码,600099,600099
股票简称,林海股份,600099
总股本,219120000.0,600099
流通股,219120000.0,600099
总市值,1395794400.0,600099
流通市值,1395794400.0,600099
行业,交运设备,600099
上市时间,19970704,600099
股票代码,836957,836957
股票简称,汉维科技,836957
总股本,107301334.0,836957
流通股,26825334.0,836957
总市值,697458671.0,836957
流通市值,174364671.0,836957
行业,化学原料,836957
上市时间,20221214,836957
股票代码,600019,600019
股票简称,宝钢股份,600019
总股本,22119857984.0,600019
流通股,21857918984.0,600019
总市值,156387395946.88,600019
流通市值,154535487216.88,600019
行业,钢铁行业,600019
上市时间,20001212,600019
股票代码,301318,301318
股票简称,维海德,301318
总股本,135130876.0,301318
流通股,58513721.0,301318
总市值,3466106969.3999996,301318
流通市值,1500876943.6499999,301318
行业,消费电子,301318
上市时间,20220810,301318
股票代码,300343,300343
股票简称,联创股份,300343
总股本,1068969119.0,300343
流通股,1066219389.0,300343
总市值,4960016712.16,300343
流通市值,4947257964.96,300343
行业,化学制品,300343
上市时间,20120801,300343
股票代码,603773,603773
股票简称,沃格光电,603773
总股本,222797333.0,603773
流通股,203296882.0,603773
总市值,4244289193.65,603773
流通市值,3872805602.1000004,603773
行业,光学光电子,603773
上市时间,20180417,603773
股票代码,301136,301136
股票简称,招标股份,301136
总股本,275204820.0,301136
流通股,103889820.0,301136
总市值,2754800248.2,301136
流通市值,1039937098.1999999,301136
行业,工程咨询服务,301136
上市时间,20220111,301136
股票代码,000736,000736
股票简称,中交地产,000736
总股本,747098401.0,000736
流通股,695433689.0,000736
总市值,5894606383.889999,000736
流通市值,5486971806.21,000736
行业,房地产开发,000736
上市时间,19970425,000736
股票代码,603636,603636
股票简称,南威软件,603636
总股本,580360523.0,603636
流通股,580360523.0,603636
总市值,4410739974.8,603636
流通市值,4410739974.8,603636
行业,互联网服务,603636
上市时间,20141230,603636
股票代码,300191,300191
股票简称,潜能恒信,300191
总股本,320000000.0,300191
流通股,220070000.0,300191
总市值,4076800000.0,300191
流通市值,2803691800.0,300191
行业,采掘行业,300191
上市时间,20110316,300191
股票代码,688189,688189
股票简称,南新制药,688189
总股本,274400000.0,688189
流通股,274400000.0,688189
总市值,1577800000.0,688189
流通市值,1577800000.0,688189
行业,化学制药,688189
上市时间,20200326,688189
股票代码,600785,600785
股票简称,新华百货,600785
总股本,225631280.0,600785
流通股,225631280.0,600785
总市值,2836185189.6,600785
流通市值,2836185189.6,600785
行业,商业百货,600785
上市时间,19970108,600785
股票代码,688195,688195
股票简称,腾景科技,688195
总股本,129350000.0,688195
流通股,129350000.0,688195
总市值,3052660000.0,688195
流通市值,3052660000.0,688195
行业,光学光电子,688195
上市时间,20210326,688195
股票代码,300472,300472
股票简称,新元科技,300472
总股本,275258621.0,300472
流通股,251319339.0,300472
总市值,1178106897.88,300472
流通市值,1075646770.92,300472
行业,专用设备,300472
上市时间,20150611,300472
股票代码,301299,301299
股票简称,卓创资讯,301299
总股本,60000000.0,301299
流通股,35182438.0,301299
总市值,2452800000.0,301299
流通市值,1438258065.44,301299
行业,互联网服务,301299
上市时间,20221019,301299
股票代码,603272,603272
股票简称,联翔股份,603272
总股本,103627000.0,603272
流通股,42502000.0,603272
总市值,813471950.0,603272
流通市值,333640700.0,603272
行业,装修装饰,603272
上市时间,20220520,603272
股票代码,300411,300411
股票简称,金盾股份,300411
总股本,406520007.0,300411
流通股,306400275.0,300411
总市值,4532698078.05,300411
流通市值,3416363066.25,300411
行业,专用设备,300411
上市时间,20141231,300411
股票代码,832469,832469
股票简称,富恒新材,832469
总股本,140946000.0,832469
流通股,75700728.0,832469
总市值,1148709900.0,832469
流通市值,616960933.2,832469
行业,塑料制品,832469
上市时间,20230918,832469
股票代码,600583,600583
股票简称,海油工程,600583
总股本,4421354800.0,600583
流通股,4421354800.0,600583
总市值,24980654620.0,600583
流通市值,24980654620.0,600583
行业,采掘行业,600583
上市时间,20020205,600583
股票代码,300668,300668
股票简称,杰恩设计,300668
总股本,120381273.0,300668
流通股,80351046.0,300668
总市值,1922488929.8100002,300668
流通市值,1283206204.6200001,300668
行业,工程咨询服务,300668
上市时间,20170619,300668
股票代码,002243,002243
股票简称,力合科创,002243
总股本,1210604219.0,002243
流通股,1195689152.0,002243
总市值,6476732571.65,002243
流通市值,6396936963.2,002243
行业,美容护理,002243
上市时间,20080528,002243
股票代码,603110,603110
股票简称,东方材料,603110
总股本,201226732.0,603110
流通股,201226732.0,603110
总市值,2086721210.84,603110
流通市值,2086721210.84,603110
行业,化学制品,603110
上市时间,20171013,603110
股票代码,600807,600807
股票简称,济南高新,600807
总股本,884634731.0,600807
流通股,787018464.0,600807
总市值,2450438204.87,600807
流通市值,2180041145.28,600807
行业,医疗器械,600807
上市时间,19940103,600807
