code,cname,pe,pb,mv
000999,华润三九,9.91,2.38,47545728751.0
688981,中芯国际,104.37,2.38,343646191283.0
000029,深深房Ａ,1039.95,3.17,11694789600.0
301257,普蕊斯,17.7,1.72,1944765680.0
300750,宁德时代,17.94,4.18,820597487264.0
002722,物产金轮,14.54,0.96,2402485637.0
688720,艾森股份,96.83,2.64,2660745353.0
603196,日播时尚,-37.3,2.68,2050078649.0
000937,冀中能源,9.83,0.92,19681855955.0
603529,爱玛科技,14.44,3.47,27454235057.0
600406,国电南瑞,38.93,4.64,210941960288.0
300398,飞凯材料,23.43,1.48,5630207562.0
688185,康希诺,-22.78,2.03,10269170809.0
001380,华纬科技,16.35,1.73,2659129488.0
002225,濮耐股份,12.03,0.95,3202901151.0
300875,捷强装备,898.45,1.78,2234301727.0
688443,智翔金泰-U,-11.71,3.39,8473974800.0
002243,力合科创,43.07,0.98,6997292386.0
002452,长高电新,18.11,1.95,4398154483.0
000157,中联重科,11.07,0.91,50679474658.0
688676,金盘科技,30.21,3.21,13439616345.0
600815,厦工股份,290.42,2.29,3477225181.0
601058,赛轮轮胎,10.56,2.55,45441545579.0
832225,利通科技,9.96,1.5,921431170.0
601988,中国银行,5.77,0.6,1368903229271.0
002653,海思科,112.55,9.33,37077846042.0
002120,韵达股份,10.24,1.1,21309080913.0
688198,佰仁医疗,190.37,11.7,13398774833.0
002024,ST易购,423.87,1.09,12507436284.0
688278,特宝生物,39.89,12.05,24277824000.0
603779,威龙股份,143.39,4.8,2709795273.0
300912,凯龙高科,-7.84,1.63,1179715320.0
000338,潍柴动力,8.79,1.24,103758760602.0
600482,中国动力,53.45,1.37,50817551238.0
300382,斯莱克,125.34,2.05,4418310873.0
601398,工商银行,5.9,0.58,2010131289982.0
000800,一汽解放,37.51,1.48,35881182421.0
600894,广日股份,18.59,0.96,8712370192.0
601966,玲珑轮胎,13.07,1.14,24180507720.0
301129,瑞纳智能,-71.23,1.48,2444750820.0
601857,中国石油,8.27,0.98,1465998032322.0
000581,威孚高科,8.4,0.83,16031539591.0
601699,潞安环能,8.87,0.86,39516515532.0
000708,中信特钢,9.7,1.39,52894200770.0
600803,新奥股份,11.03,2.51,55819024228.0
601728,中国电信,12.65,1.21,551788046355.0
002210,飞马国际,60.2,12.71,4018461489.0
